source_pdf	domain	rows	release_bucket	publisher_or_source_family	source_url	terms_url	redistribution_status	verification_status	notes
10-K.pdf	finance	7	public_company_filing_or_report	Microsoft / SEC EDGAR	https://www.sec.gov/Archives/edgar/data/0000789019/000095017025100235/msft-20250630.htm	https://www.sec.gov/search-filings/edgar-search-assistance/accessing-edgar-data	metadata_ok_source_public_pdf_or_derivative_images_need_final_copyright_review	official_web_verified_2026-05-26	Local PDF text identifies Microsoft Corporation FY2025 Form 10-K; SEC EDGAR page confirms accession 0000950170-25-100235 and fiscal year ended 2025-06-30. Use EDGAR source link in public metadata; review company/filing copyright posture before redistributing rendered pages.
AN040_EN.pdf	datasheet	2	datasheet_or_vendor_manual	Richtek Technology	https://www.richtek.com/~/media/AN%20PDF/AN040_EN.pdf	https://www.richtek.com/My%20Richtek/Terms%20of%20Use?sc_lang=en	informational_noncommercial_download_only_no_modification_distribution_or_reposting_per_terms	official_web_verified_2026-05-26	Local PDF text identifies Richtek AN040 RT1650 Application Note. Richtek official PDF and terms page verified; public derived page/crop release still needs permission because terms restrict modification/distribution/reposting.
Arm_EE382N_4.pdf	datasheet	7	datasheet_or_vendor_manual	University of Texas at Austin / Mark McDermott	https://users.ece.utexas.edu/~valvano/EE345M/Arm_EE382N_4.pdf	https://www.utexas.edu/site-policies	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	official_web_verified_2026-05-26	Official UT ECE course-hosted copy of Mark McDermott's EE382N-4 ARM Instruction Set Architecture lecture verified. UT site policies and general copyright posture do not grant broad redistribution; keep public artifacts metadata-only unless course-material/source rights are cleared.
BCM2835-ARM-timer-int.annot.pdf	datasheet	3	datasheet_or_vendor_manual	Broadcom / Raspberry Pi hosted documentation	https://datasheets.raspberrypi.com/bcm2835/bcm2835-peripherals.pdf	https://www.raspberrypi.com/licensing/	metadata_only_no_pdf_or_derivative_images_without_explicit_permission	official_web_verified_2026-05-26	Local file is an annotated excerpt of the BCM2835 ARM Peripherals manual. Raspberry Pi hosts the official Broadcom PDF and its licensing page notes some hosted documents remain under original-author all-rights-reserved terms; keep public artifacts metadata-only unless source/derivative rights are cleared.
Buck Converter Selection Criteria _ Richtek Technology.pdf	datasheet	1	datasheet_or_vendor_manual	Richtek Technology	https://www.richtek.com/~/media/AN%20PDF/AN033_EN.pdf	https://www.richtek.com/My%20Richtek/Terms%20of%20Use?sc_lang=en	informational_noncommercial_download_only_no_modification_distribution_or_reposting_per_terms	official_web_verified_2026-05-26	Richtek official AN033 application note verified from search result and local filename. Public derived page/crop release still needs permission because terms restrict modification/distribution/reposting.
DC_DC Converter Testing with Fast Load Transient _ Richtek Technology.pdf	datasheet	1	datasheet_or_vendor_manual	Richtek Technology	https://www.richtek.com/en/Design%20Support/Technical%20Document/~/media/AN%20PDF/AN038_EN.ashx	https://www.richtek.com/My%20Richtek/Terms%20of%20Use?sc_lang=en	informational_noncommercial_download_only_no_modification_distribution_or_reposting_per_terms	official_web_verified_2026-05-26	Richtek official AN038 application note verified from official technical-document page/search result. Public derived page/crop release still needs permission because terms restrict modification/distribution/reposting.
DS5091D-00.pdf	datasheet	9	datasheet_or_vendor_manual	Richtek Technology	https://www.richtek.com/assets/product_file/RT5091D/DS5091D-00.pdf	https://www.richtek.com/My%20Richtek/Terms%20of%20Use?sc_lang=en	informational_noncommercial_download_only_no_modification_distribution_or_reposting_per_terms	official_web_verified_2026-05-26	Local and official PDFs identify RT5091D Power Management Unit Total Power Solution for SSD, copyright Richtek 2019. Public derived page/crop release still needs permission because terms restrict modification/distribution/reposting.
DS8237AB-06.pdf	datasheet	2	datasheet_or_vendor_manual	Richtek Technology	https://www.richtek.com/assets/product_file/RT8237A%3DRT8237B/DS8237AB-06.pdf	https://www.richtek.com/My%20Richtek/Terms%20of%20Use?sc_lang=en	informational_noncommercial_download_only_no_modification_distribution_or_reposting_per_terms	official_web_verified_2026-05-26	Local and official PDFs identify RT8237A/B High Efficiency Single Synchronous Buck PWM Controller, copyright Richtek. Public derived page/crop release still needs permission because terms restrict modification/distribution/reposting.
JESD204B-Survival-Guide.pdf	datasheet	1	datasheet_or_vendor_manual	Analog Devices	https://www.analog.com/static/imported-files/tech_articles/JESD204B-Survival-Guide.pdf	https://www.analog.com/en/who-we-are/legal-and-risk-oversight/intellectual-property/copyright-notice.html	single_copy_or_prior_permission_required_for_reproduction_per_adi_notice	official_web_verified_2026-05-26	Qualitative paper figure source. Analog EngineerZone official post points to the Analog Devices PDF; add ADI source attribution to captions and avoid public derived page/crop release without permission.
SG017_2022.pdf	datasheet	2	datasheet_or_vendor_manual	Richtek Technology	https://www.richtek.com/~/media/AN%20PDF/SG017_2022.pdf	https://www.richtek.com/My%20Richtek/Terms%20of%20Use?sc_lang=en	informational_noncommercial_download_only_no_modification_distribution_or_reposting_per_terms	official_web_verified_2026-05-26	Local PDF metadata identifies Richtek Power Management Product Selection Guide Oct.2022. Official Richtek PDF verified; public derived page/crop release still needs permission because terms restrict modification/distribution/reposting.
