method,agent,tool_set,domain,missing,n,accuracy,accuracy_ci_low,accuracy_ci_high,usd_per_correct,usd_per_correct_ci_low,usd_per_correct_ci_high,latency_ms_mean,latency_s_mean,bbox_iou,page_recall,usd_total
Basic VLM,simple,full,datasheet,False,101,0.5148514851485149,0.4158415841584158,0.6138613861386139,0.008754278846153847,0.007352023809523808,0.010792827380952387,3355.861386138614,3.355861386138614,0.0,0.9108910891089109,0.45522250000000003
Basic VLM,simple,full,finance,False,47,0.3829787234042553,0.23404255319148937,0.5106382978723404,0.011972638888888889,0.008947031250000001,0.019562272727272727,3516.148936170213,3.5161489361702127,0.18725624559725904,0.8617021276595744,0.2155075
Basic VLM,simple,full,_overall,False,148,0.47297297297297297,0.39864864864864863,0.5540540540540541,0.009581857142857144,0.008203935185185187,0.011468283898305086,3406.7635135135133,3.4067635135135133,0.05946651042615659,0.8952702702702703,0.67073
LlamaIndex ReAct +2,llamaindex_react,minimal,datasheet,False,101,0.1485148514851485,0.0891089108910891,0.21782178217821782,0.28848466666666667,0.19217977272727274,0.5145598611111112,28853.673267326732,28.853673267326734,0.1751642283633642,0.6666666666666666,4.32727
LlamaIndex ReAct +2,llamaindex_react,minimal,finance,False,47,0.06382978723404255,0.0,0.14893617021276595,0.6829995833333333,0.2967798214285714,2.1373724999999992,31359.787234042553,31.359787234042553,0.23515628928406346,0.5319148936170213,2.04899875
LlamaIndex ReAct +2,llamaindex_react,minimal,_overall,False,148,0.12162162162162163,0.06756756756756757,0.17567567567567569,0.3542371527777778,0.23737466346153852,0.6346546250000001,29649.533783783783,29.649533783783784,0.194215761223316,0.6238738738738738,6.37626875
LlamaIndex ReAct +4,llamaindex_react,full,datasheet,False,101,0.1188118811881188,0.0594059405940594,0.18811881188118812,0.448604375,0.284409375,0.9265849999999994,29853.346534653465,29.853346534653465,0.37804989207260276,0.6254125412541254,5.3832525
LlamaIndex ReAct +4,llamaindex_react,full,finance,False,47,0.06382978723404255,0.0,0.14893617021276595,0.8031799999999999,0.34432232142857144,2.47708625,30736.957446808512,30.73695744680851,0.3508417334923859,0.5957446808510638,2.40954
LlamaIndex ReAct +4,llamaindex_react,full,_overall,False,148,0.10135135135135136,0.05405405405405406,0.14864864864864866,0.5195195,0.3450076136363636,0.9932159375000003,30133.952702702703,30.133952702702704,0.36940946333429064,0.615990990990991,7.7927925
Coding Agent +4,coding_agent,full,datasheet,False,101,0.32673267326732675,0.2376237623762376,0.4158415841584158,0.10895109848484848,0.08461676829268291,0.15413554999999993,17414.881188118812,17.414881188118812,0.4976306426658354,0.8003300330033003,3.59538625
Coding Agent +4,coding_agent,full,finance,False,47,0.10638297872340426,0.02127659574468085,0.19148936170212766,0.364182,0.19597774999999995,0.9856981250000001,19799.14893617021,19.799148936170212,0.3987559887830358,0.6595744680851063,1.82091
Coding Agent +4,coding_agent,full,_overall,False,148,0.25675675675675674,0.1891891891891892,0.3310810810810811,0.14253411184210527,0.10872752604166663,0.200790625,18172.047297297297,18.172047297297297,0.4662312593381896,0.7556306306306306,5.41629625
DocLens-style,doclens,full,datasheet,False,101,0.22772277227722773,0.15841584158415842,0.3069306930693069,0.11302706521739131,0.08370919354838706,0.16726484374999995,18847.346534653465,18.847346534653465,0.7478947322778331,0.9438943894389439,2.5996225
DocLens-style,doclens,full,finance,False,47,0.0425531914893617,0.0,0.10638297872340426,0.594974375,0.23374499999999995,1.2333937499999998,19779.40425531915,19.77940425531915,0.5963913355548234,0.9113475177304965,1.18994875
DocLens-style,doclens,full,_overall,False,148,0.16891891891891891,0.11486486486486487,0.23648648648648649,0.15158285,0.10854264705882351,0.23016441176470587,19143.337837837837,19.143337837837837,0.6997821671022827,0.9335585585585585,3.78957125
AgenticOCR-style,agentic_ocr,full,datasheet,False,101,0.21782178217821782,0.13861386138613863,0.297029702970297,0.0708840340909091,0.05072354166666666,0.11254133928571423,10208.653465346535,10.208653465346535,0.20977399308089142,0.9158415841584159,1.55944875
AgenticOCR-style,agentic_ocr,full,finance,False,47,0.0425531914893617,0.0,0.10638297872340426,0.154055,0.05723145833333332,0.38579499999999994,4187.531914893617,4.187531914893617,0.12505634189516254,0.3723404255319149,0.30811
AgenticOCR-style,agentic_ocr,full,_overall,False,148,0.16216216216216217,0.10135135135135136,0.22972972972972974,0.07781494791666667,0.053288295454545456,0.12514558333333334,8296.54054054054,8.29654054054054,0.18287041466380183,0.7432432432432432,1.86755875
FocusParse +4,focus,full,datasheet,False,101,0.7029702970297029,,,,,,,,,,
FocusParse +4,focus,full,finance,False,47,0.5957446808510638,,,,,,,,,,
FocusParse +4,focus,full,_overall,False,148,0.668918918918919,,,0.0232,,,3700.0,3.7,0.881,0.949,2.2967999999999997
